RGIId,1976/1979-2000_percentDataCoverage,1976/1979-2000_volumeChange,1976/1979-2000_meanElevationChange,1976/1979-2000_geodeticMassBalance,1976/1979-2000_volumeChange_sigma,1976/1979-2000_meanElevationChange_sigma,1976/1979-2000_geodeticMassBalance_sigma,1976/1979-2000_timespan,1976/1979-2000_minYear,1976/1979-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.01292,84,-7712265.489,-1.174156917,-0.998033379,1331509.292,0.219059498,0.199082329,21-24,1976/1979,2000,58,-5634557.873,-0.848016752,-0.720814239,2481213.539,0.378213329,0.325482906,19.80768257,2000.112254,2019.919937
RGI60-17.01294,85,318510.1414,0.038726719,0.032917711,1516670.638,0.184427888,0.156780925,21-24,1976/1979,2000,54,-4135966.445,-0.49922964,-0.424345194,2595795.454,0.315306443,0.269679151,19.80768257,2000.112254,2019.919937
RGI60-17.01296,67,-1221991.174,-0.231509792,-0.196783323,2958546.868,0.560749354,0.476839314,21-24,1976/1979,2000,77,-3445581.022,-0.766527514,-0.651548387,3151005.887,0.70308666,0.599390751,20.13963326,2000.112254,2020.251887
RGI60-17.01297,89,-378796.59,-0.124785509,-0.106067683,919333.9278,0.302981166,0.257642803,21-24,1976/1979,2000,87,-2213215.783,-0.70121031,-0.596028764,936445.1231,0.300808277,0.259125386,20.09582675,2000.112254,2020.208081
RGI60-17.01299,79,3692553.641,0.971030094,0.82537558,1321830.596,0.354331173,0.306764946,21-24,1976/1979,2000,91,-257478.6161,-0.067212572,-0.057130686,616202.2009,0.160924468,0.136845232,20.13963326,2000.112254,2020.251887
RGI60-17.04682,83,-1129735.548,-0.387327821,-0.329228648,847572.4296,0.291876529,0.249181131,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,9.05475814,2000.112254,2009.167012
RGI60-17.04690,73,-26086986.41,-1.331207957,-1.131526763,3492383.009,0.201547148,0.189019755,21-24,1976/1979,2000,12,-13582726.7,-0.686540269,-0.583559229,5795868.712,0.296948586,0.255745487,16.69816629,2000.112254,2016.81042
RGI60-17.04702,81,-4505718.978,-0.423179082,-0.35970222,2554446.017,0.241773566,0.207070122,21-24,1976/1979,2000,61,-10121140.27,-0.976910398,-0.830373838,2528354.721,0.253641068,0.223420765,16.69816629,2000.112254,2016.81042
RGI60-17.04708,85,-1471434.385,-0.48861391,-0.415321824,1505221.841,0.501026281,0.426880224,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,9.073923489,2000.112254,2009.186178
RGI60-17.04724,90,658306.1771,0.176847745,0.150320583,847176.7227,0.227929329,0.194030283,21-24,1976/1979,2000,83,-4683910.616,-1.252521801,-1.064643531,1175530.833,0.326586478,0.287591116,17.65983559,2000.112254,2017.77209
RGI60-17.04746,39,-32472520.03,-6.673989626,-5.672891182,3358723.269,0.836204334,0.815813046,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,8.13689535,2000.112254,2008.24915
RGI60-17.04747,35,-14143740.85,-4.370814989,-3.715192741,3501205.227,1.12524744,0.991761481,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,8.681738845,2000.112254,2008.793993
RGI60-17.04756,69,486151.1715,0.101646263,0.086399324,1658409.654,0.346820833,0.294860787,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,8.681738845,2000.112254,2008.793993
RGI60-17.04761,91,-16439.00326,-0.005754758,-0.004891544,903375.606,0.316242538,0.268806379,21-24,1976/1979,2000,0,nan,nan,nan,nan,nan,nan,8.681738845,2000.112254,2008.793993
RGI60-17.04772,62,-2985484.595,-0.655433987,-0.557118889,2244531.574,0.494939694,0.4225328,21-24,1976/1979,2000,44,-2365148.457,-0.515019943,-0.437766952,2346417.177,0.512237321,0.436496901,16.69816629,2000.112254,2016.81042
RGI60-17.04785,71,-2356781.415,-0.157943621,-0.134252078,2552822.286,0.171445858,0.146036782,21-24,1976/1979,2000,76,-13549919.69,-0.926484943,-0.787512202,2556738.003,0.186690941,0.168142222,17.65983559,2000.112254,2017.77209
RGI60-17.04809,87,-1130815.468,-0.402408845,-0.342047519,1193012.19,0.425494503,0.362475357,21-24,1976/1979,2000,75,-1044233.24,-0.387613372,-0.329471367,966094.2397,0.35965585,0.306590831,16.69816629,2000.112254,2016.81042
RGI60-17.04810,82,-23712294.69,-1.370580244,-1.164993207,2370693.138,0.167917266,0.164724999,21-24,1976/1979,2000,62,-18796441.1,-1.151526367,-0.978797412,2985551.892,0.2002104,0.183669498,16.69816629,2000.112254,2016.81042
RGI60-17.04811,71,-50568.23242,-0.014282026,-0.012139722,1087132.163,0.307041252,0.260986471,21-24,1976/1979,2000,55,-923162.2586,-0.263985947,-0.224388055,1461643.561,0.418385786,0.35598047,16.69816629,2000.112254,2016.81042
RGI60-17.04812,56,-658271.9988,-0.163004202,-0.138553571,1602079.294,0.396881312,0.337490857,21-24,1976/1979,2000,49,-6651268.862,-1.684821206,-1.432098025,1921986.763,0.501219497,0.437865507,17.65983559,2000.112254,2017.77209
